"","SightingID","ReportSource","ReportDate","ReportTime","EventDate","EventTime","ApproximateDate","Duration","Location","City","State","Zip","County","Country","Summary","Narrative","Profession","TotalObservers","NoofShips","Shape","Aircraft","AnimalResponse","ElectricalMagnetic","Sounds","EmitObjects","EmitBeams","Aura","Trail","LightsOnObject","ChangeColor","Landing","Entities","Abduction","MissingTime","PhysPsychEffects","NUFORCNote","Explanation","Certainty","PilotMilitaryObserver","StructuredCraft","MetalSphere","Hightlight","EventYear","EventDecade","EventQuarter","EventMonth","EventHour","EventTimeGroup","RegionUS","food_pills","bullet","force_field","blinding_light","odd_anatomy"
"1213",1691,"Incoming Call","1996-12-05","1999-12-30 03:10:00","1996-12-05","1999-12-30 05:30:00",0,NA,NA,"Brooksville","FL","34613",NA,"USA","Man standing outdoors waiting to see Space Shuttle sees 2 white lights at high alt. flying at very high speed overhead.  Unusual sight.","The caller was standing outside, waiting for the space shuttle to arrive.  Suddenly, he notices two white lights flying very fast, which were positioned beside one another.  

The sky was very clear, and the stars were very prominent in the sky when he saw the two objects. 

They were neither a missile, nor an aircraft, the observer emphasized.  They were traveling too fast for that (?), he averred, and they were very high, he thought.  

He called the local sheriff's office, where he was given the Center's telephone number.

The caller mentioned that he was college educated, and that he had never seen anything like this in his life.",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1996,1990,4,12,5,"Morning","South",0,1,0,0,0
"1522",2237,"Web","1997-05-22","1899-12-30 16:58:34","1974-06-15","1899-12-30 20:00:00",0,"3+min",NA,"San Diego (Mission Bay Walk/Santa Clara Ct. M.B.)","CA","92109","San Diego","USA","Enormous object to star like size in a flash","Summary : Enormous object to star like size in a flash

I was carrying my 3mo old daughter accompaniedby my wife and 5 or more strangers were nearbyDusk waschanging to dark, the area was well lit, welloccupied by people, and somewhat busy asMission Beach is at that time of year.What appeared to be an object on fire overheadsoon became an large,dark,round object thatseemed to loom above us in silence with whatappeared to be lights around its exterior.the object was either the size of a city blockand close to the ground 500-1000ft or it wasincredibly huge and much higher in elevation.I started to walk away because of fear formy infantdaughter but stopped to look back, when I didit instantly disapeared until my wife pointedit out to all of us as a tiny star like objectmoving quickly south (faster that a fighter jet)It then stopped abruptly and a object bestdescribed as; lite, no lite, lite, no liteflashed across the sky westerly in a straight- - - - - -line, then it resumed its fast flightdue south and faded out of sight.That evening there were reports of strangelites off shore facing west.The strangest co-incidence to this story isthat the San Diego Union reported the nextmorning that a main electrical sub-station ineither the Phillipines or the Marshall's hadbeen scorched and burnt and shut down - causeunknown, that previous evening.Further, a similiar sighting just two+ weekslater in a major Florida city came up with asimiliar result i.e; a scorched & burntsub-station.I've got an extensive radar and aircraftand missile background and not easilyled or fooled. This was strange and we'vekept it to ourselves until now.Thanks to you and Art Bell, I'm talking.",NA,7,NA,"sphere",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1974,1970,2,6,20,"Evening","West",0,1,0,0,0
"1584",2306,"Web","1997-06-25","1899-12-30 14:06:37","1997-06-07","1899-12-30 22:00:00",0,"5 sec.",NA,"Quincy","MA","02171","Norfolk","USA","I WAS RIDING IN THE CAR WITH MY MOM WHEN A STRANGE MISSILE SHAPED OBJECT FLY OVER THE ROAD AT LOW ALTITUDE","Summary : I WAS RIDING IN THE CAR WITH MY MOM WHEN A STRANGE MISSILE SHAPED OBJECT FLY OVER THE ROAD AT LOW ALTITUDE",NA,2,NA,"cylinder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1997,1990,2,6,22,"Night","Northeast",0,1,0,0,0
"1641",2398,"Web","1997-07-07","1899-12-30 00:28:19","1997-07-04","1899-12-30 21:30:00",0,"3-5 seconds",NA,"Hazelwood","MO","63042","St. Louis","USA","Green, half-capsule shaped object, streaking North-South across the sky. Disappeared half-way across.","Summary : Green, half-capsule shaped object, streaking North-South across the sky. Disappeared half-way across.

saw something unusual Friday night (7/4) with my boys (7 and 6).  Didn't think much about it at the time.  It got us talking about shooting stars and stuff.  Heard it on the radio today (KMOX) and thought I would pass this along. I'll start by saying I am not a UFO fanatic, I don't believe in aliens or beings from other planets.  But I certainly saw something unusual the other night. It was between 9:15-9:45, we were waiting for fireworks (the show started at 9:45). My 6 year old noticed it first, and caught my attention. It was green, bullet shaped (like half a capsule.  A rounded edge, flat back.  No stream or tail). Streaked across the sky, and vanished about half way across.  It moved quite quickly, maybe I saw it for 2-3 seconds before it was gone. At first I thought it was some unusualy fireworks (but thinking it is very large).  Then it disappeared as a firework would, but with no explosion or fanfare.  Just gone. It was quite large, perhaps as large in sight as a full moon. If I have my bearings correct, it streaked from North to South. I was at White Birch Park in Hazelwood, MO (St Louis county), facing McDonnell Blvd, it streaked from my left to right.",NA,3,NA,"oval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1997,1990,3,7,21,"Evening","Midwest",0,1,0,0,0
"1673",2481,"Web","1997-07-08","1899-12-30 05:49:09","1997-07-04","1899-12-30 22:00:00",0,"30 seconds",NA,"Old Valmeyer Bottoms-Valmeyer","IL","62298","Monroe","USA","Blue bullet shaped light appeared 200-400ft above ground level.  Traveling slightly slower than a meterorite, and lasting approx. 30 se","Summary : Blue bullet shaped light appeared 200-400ft above ground level.  Traveling slightly slower than a meterorite, and lasting approx. 30 seconds, then simply fading.  The object was traveling in a East to West direction.

12 people noticed the object, as we were watching a fifeworks display ( about 2-3 miles away.)  The object simple appeared in the sky, and was traveling from the Illinois bluffs towards St. Louis, Roughly E to W. All people noticed the object, half saying it was a meterorite, the others saying it was part of a fire work that had strayed. Niether of these two theories would work because 1) the object was very low as compared to other meterorites we had seen, and 1) we set up about 2-3 miles from the fireworks display therefore no stray objects could have traveled that distance.",NA,12,NA,"teardrop",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1997,1990,3,7,22,"Night","Midwest",0,1,0,0,0
"1859",2813,"Web","1997-11-01","1899-12-30 01:34:34","1997-10-31","1899-12-30 22:18:00",0,"2 min.",NA,"Santa Ana","CA","92704","Orange","USA","Saw an orange, round object in the northern sky under clear conditions. Object was flickering in brightness and was moving very slowly ","Summary : Saw an orange, round object in the northern sky under clear conditions. Object was flickering in brightness and was moving very slowly through the air. It appeared something was falling from the bottom of the craft towards the earth.

the UFO was witnessed by three other people and myself. We were standing in front of my friends place of employment when one of my friends looked up and said ""what the hell is that?"" The three of us looked up and saw what appeared to be an orange ball slowly moving across the sky. At this time, a customer came up and saw what we were looking at and said the same thing. ""what the hell is that."" My first impression was that it was a plane that caught on fire. But by observing it more. It appeared to be moving too slowly to be an airplane. Right about this time, we all observed what appeared to be projectiles coming out from underneath the ball traveling down toward the earth. The object then started to dim in brightness and get brighter again. It did this several times. I then assumed it might be a flare but it was traveling in a straight line. the object stayed visible for about 2 or 3 minutes before it slowly faded from sight. I am an office employee that works in Santa Ana. My friends work a right down the street from me.. This is where the sighting took place at. After debating what we had seen for two hours, none of us could come up with any rational explanation of what we saw. Thank you.","office clerk",4,NA,"light",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1997,1990,4,10,22,"Night","West",0,1,0,0,0
"2103",3131,"Web","1998-02-14","1899-12-30 18:08:12","1957-11-10","1899-12-30 20:00:00",1,"4-5 min",NA,"Northeast Cape AFS, St Lawrence Island,","AK",NA,NA,"USA","Observed target on search radar. Ground speed about 25000 kt, altitude at least 30000ft. recorded on scope camera. observed by other ra","Observed target on search radar. Ground speed about 25000 kt, altitude at least 30000ft. recorded on scope camera. observed by other radar sites across Canada

I was an early warning radar operator in the USAF on St Lawrence Island. We observed a target, unidentified, in Soviet airspace heading east at high speed. Our first thought was that it was some type of missile. We turned on the scope camera and notified the site commander. The object was estimated at 25000kt. The first contact was at about 200 miles, which would make it very high or very large.","Airline pilot",10,1,"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1957,1950,4,11,20,"Evening","West",0,1,0,0,0
"2135",3226,"Web","1998-04-10","1899-12-30 23:13:54","1998-04-10","1899-12-30 05:30:00",0,"~7 seconds",NA,"Montreal (Canada)","QC","H2V 1S6",NA,"Canada","2 round objects ""faded in"" view as if coming from high altitude, zoomed east ~5 sec, covered ~15 deg., then faded out.","2 round objects ""faded in"" view as if coming from high altitude, zoomed east ~5 sec, covered ~15 deg., then faded out.

April 10 1998, ~5:30 am (EDT), crystal clear sky, pre-dawn light, only the brightest stars still visible. Cassiopea was still very clearly visible on a pre-dawn blue as it is a bright constellation. Between the North Star and constellation Cassiopea, 2 round objects of apparent size of about a penny at 20 feet 'faded-in' view as if coming from a higher altitude and coming down low enough not to be masked by the blue of the sky. The fade-in effect lasted about a second. It looked like something coming out af a fog. There seemed to be no self illumination. The color of the two UFOs could have been the reflection of the dawn Sun on a dull metallic surface. Hard to tell, apparent size was small. The color did not look even, sort of brighter in the center and brownish orange outside. Again this is more of an impression, as the size was too small for objective description of surface features. The formation appeared unmoving at first, one object was higher in altitude angle by about 2 moon diameters, azimuth North East, moved as a formation about 40 moon diameters east (towards the approaching rising Sun, which at that altitude was probably already up) and faded-out in exactly the same fashion they had come in, although they faded-out while moving rapidly east and were unmoving at fade-in. About 5-7 seconds. I am an experienced observer as an amateur astronomer for 30 years, a pilot for a few years in my teens and a general observer of nature. I don't have perfect vision anymore, I have a slight astigmatism and I was wearing my glasses. I used to be a software engineer (without a finished degree) and I now study Physics at the University of Montreal (back to school, got to get that degree). I am a skeptic. Still am, but I used to feel comfortable. My field now is astronomical optics, and I know what a sun-dog looks like, a comet, Venus, flocks of birds, nebulae, a meteorite, a galaxy, an aurora, a weather baloon, Jupiter, an airplane at high, low and medium altitude in foggy or clear conditions from up there looking down or from down here looking up. In winter and in summer. I've watched satellites go by hundreds of times, once even Soyouz in full sunlight, not penumbra as we are used to see orbiting satellites in, but if full sunlight; it glared many times brighter than Venus, quite a sight for all of 2 or 3 seconds. My point is that I am an observer, a good one, and a skeptic. This week is the beginning of spring and I saw flocks of Canada Geese, big birds, flying high enough for the birds to be the same size as the two UFO's of this report, and they flap, you see more flapping than bird actually, and even at that altitude you can hear them yak like a chikcken coop. The UFOs I saw this morning didn't yak or flap. This I am sure of: it was not two birds or weather ballons, planes or speeding bullets, helicopters, gyrocopters or Venuses. It was not any known human machine or animal. Which leaves unknown natural phenomena, ETs and SDI style research. ETs being the most unlikely of course. This is important: the movements suggested very low mass. An eerie 'easyness' about the movements which does not match the apparent size at all is what is most bizarre. Like inertia is for others. They seemed to go about the sky as droplets of water on a very hot surface. At least that's the best comparaison I can make. If anybody is interested I can make a small movie on the computer, but after the exams, in May.","Student",1,2,"formation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1998,1990,2,4,5,"Morning",NA,0,1,0,0,0
"2189",3289,"Web","1998-03-08","1899-12-30 00:57:31","1990-12-16","1899-12-30 02:15:00",0,"10 minutes",NA,"Blocker","OK",NA,NA,"USA","6 Deputys at roadblock see object in level flight with large exhaust trail,explosion near nose of craft sends multiple smaller objects ","6 Deputys at roadblock see object in level flight with large exhaust trail,explosion near nose of craft sends multiple smaller objects streaking to ground.

On the above date and time, myself and 5 other deputys were working a drivers' license check at the main intersection of a small rural community in our county.I had just released a motorist to go on his way when I heard one of the deputys exclaim,""What the hell is that!"" I turned to face him and looked in the direction he was looking, which was to our northwest. It was not hard to see what he was looking at. I observed an object whose shape was hard to determine at first, as it appeared to be coming almost straight at us. I did easily notice the long trail of exhaust and flame that trailed the object. The object progressed rather slowly, about normal aircraft speed, from our northwest(right), to eventuaslly end up to our southeast(left). As the objectbecame closer and crossed our field of vision, a shape could be better made out. At first, a couple of us thought it might be an airliner that was on fire, but we could not make out any wings or tail structure. The glow from the trail of fire was illuminating the rear of the object somewhat. It should be noted that this sighting occured on a cloudless night with a 3/4 moon in the western sky, many stars visible, and a very clear view as we were far away from any city lights. When the object crossed between our position and the moon in the west, we could discern a cigar-like shape, reminiscent to me of a large missile(icbm type). The others present were in agreement as to the shape of the craft. At a point where the object was moving away to the southeast, but still mostly in front of us, we observed a very bright and instantaneous explosion near the ""nose"" of the object, immediately followed by approx. ten small objects which streaked toward the ground in a fan pattern, disapperaing in the proverbial""twinkling of an eye"". In fact, if we had blinked, I'm sure we would have missed them, they moved so fast. At that point, a couple of us were saying our prayers and waiting for the blinding flash and mushroom cloud. The closest thing I could think of to describe what I was seeing was an icbm that had just MIRV'ed. There was fortunately no explosion, much to our surprise and relief. We continued to watch the main object progress in controlled flight, to the southeast fo our position, until it finally became nothing but an orange circle of light, as if we were now looking straight at the rear end of the thing. We continued to watch the object until we could no longer see any sign of it. It flew out of our sight. It did not explode, blink out, disappear, or streak off at an unbelievable rate of speed. Once we rgained our composure, I radioed the sheriffs' office and asked the dispatcher to call the FAA Flight Control Center in McAlester. He asked me what was going on because he was already getting calls from citizens around the county who had also seen the object. He called the FAA and they had no report of any scheduled aircraft or any aircraft at all for our area. Within a few minutes, the dispatcher advised me he had received a teletype over the state law enforcement net of the report of an object that landed in a farmers field near Anadarko,Ok.(approx. 130 miles west of McAlester.), and that personnel from Tinker Air Force Base in Oklahoma City were enroute to see what it was. That was the last we heard about this until the next day. I channel surfed the news all day long, checking for any mention of this incident, to no avail. Of the seven separate news stations we had available, not one mentioned anything until 1730 that evening when KOCO channel 5 in OKC made a statement that if you saw a bright light in the sky the night before and wondered what it was, you were not alone. They claimed officials at Tinker had no idea what it was either. At a second newscast on this same channel 30 minutes later, in fact, during the weather portion of the broadcast, the weatherman stated that officials at Tinker had determined that what we saw was a Russian ""booster rocket"" re-entering the earthe's atmosphere and burning up due to friction. Well, I'm no ""rocket scientist""(pun intended), but what I saw was on a perfectly level trajectory(horizontal) with no angle. There was definitely a large streak of flame behind the object, but it was emanating from the rear of the craft, not the nose as you would expect if the flame was caused by friction. The craft was not on fire, it was under propulsion. No other mention of this incident was ever heard by me. Those of us who saw it don't talk about it anymore. I still have video of the few seconds KOCO devoted to it though.","Emergnecy Management Director",6,1,"cigar",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1990,1990,4,12,2,"Night","South",0,1,0,1,0
"2211",3312,"Web","1998-03-11","1899-12-30 21:34:52","1998-03-07","1899-12-30 18:45:00",0,"2 Minutes",NA,"Orlando","FL",NA,"Orange","USA","We saw 2white lights in the sky about 300 yards apart and 30 feet in diameter. One was close to a cloud, and dissapeared behind the cou","We saw 2white lights in the sky about 300 yards apart and 30 feet in diameter. One was close to a cloud, and dissapeared behind the coud. The other just went out. We thought they were rocket boosters from the Cape, but there was no con or smoke trail.

We were part of a group of German Folkmusik enthusiasts, in a tour bus, from Stylus Transportation, traveling from the Riand Continental Hotel to the Disney's Wide World of Sports Field house, to see an Austrian music show called The Musikantenstadl. I am sure of the time because we were about five minutes from the event, and we exited the bus at the event at 18:50. I looked out the window of the bus and saw the 2 fairly bright white lights, that looked to be about 30 feet in diameter in the sky to the left of the bus. I told my wife to look, and she asked what are those lights. The other people sitting on the left side of the bus also saw them. I thought as did other people on the bus, that they were rocket boosters from Cape Canaveral, although I made the comment that these are the first rockets I ever saw that have no propellant or con trail. It looked exactly like looking directly into the tail end of a rocket booster. We didn't give it any more thought until we returned to Los Angeles and saw a news report of the event on the Monday evening news and found out that there were no missiles fired from the cape. We saw both objects for about 2 minutes. The seemed to be about 300 yards apart, and one was next to a cloud, the other in the open sky.The light away from the cloud just went out about 5 seconds before the other light moved behind the cloud and disappeared. There was very little lateral movement, if any, on either object.

","Consulting Engr.",24,2,"light",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NUFORC:  Consistent with missile launch.",NA,NA,0,0,0,0,1998,1990,1,3,18,"Evening","South",0,1,0,0,0
