"","SightingID","ReportSource","ReportDate","ReportTime","EventDate","EventTime","ApproximateDate","Duration","Location","City","State","Zip","County","Country","Summary","Narrative","Profession","TotalObservers","NoofShips","Shape","Aircraft","AnimalResponse","ElectricalMagnetic","Sounds","EmitObjects","EmitBeams","Aura","Trail","LightsOnObject","ChangeColor","Landing","Entities","Abduction","MissingTime","PhysPsychEffects","NUFORCNote","Explanation","Certainty","PilotMilitaryObserver","StructuredCraft","MetalSphere","Hightlight","EventYear","EventDecade","EventQuarter","EventMonth","EventHour","EventTimeGroup","RegionUS","food_pills","bullet","force_field","blinding_light","odd_anatomy"
"125",258,"Incoming Call","1995-01-11","1999-12-30 09:36:00","1995-01-09","1899-12-30 23:55:00",0,NA,NA,"Memphis","TN","38117","Shelby","USA","Mother, daughter, and friend witness 4-5 objects over school yard.  Objects hovered, then streaked off. Silent.","A young girl and boy were returning from a fast-food restaurant, when they witnessed strange lights hovering in the vicinity of the local school.  They rushed home and told the girl's mother, and the three of them returned to the school with a camcorder.  The mother taped four or five objects in the night sky, which hovered, and occasionally streaked off.  They were totally silent. The local airport reported no known aircraft in the area at the time of the sighting.",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1995,1990,1,1,23,"Night","South",1,0,0,0,0
"2812",4252,"Web","1998-07-17","1899-12-30 18:06:02","1998-07-17","1899-12-30 07:45:00",0,"4-5 minutes",NA,"Indianapolis (Carmel)","IN","46032",NA,"USA","Saw far away in the sky.  Looked like a star but there were no other stars in the sky.","Saw far away in the sky.  Looked like a star but there were no other stars in the sky.

I saw this object in the sky while (it was to the west) driving home from dinner at a fastfood restraunt.  It was on a back road of a residenntial area.  The object was very far away.  First, I thought it was a star.  Then, I looked for other stars in the sky.  There were none.  I kept watching for 3-5 minutes and wondered what it was and then I drove by some trees and lost it.","Programmer",2,1,"sphere",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1998,1990,3,7,7,"Morning","Midwest",1,0,0,0,0
"3784",5441,"Web","1999-02-01","1899-12-30 00:12:06","1993-06-22","1899-12-30 14:00:00",1,"30 minutes",NA,"Colonial Beach","VA",NA,NA,"USA","Disapeering flying object","Disapeering flying object

My friend and I live in Richmond, Va. and we use to go up to Colonial Beach, which is on the Potomach River and go fishing. The river is a couple of miles wide and on the other side of the river is Maryland. This location is about 10 miles from a militray bas, Fort A.P. Hill. We were fishing behind this seafood restaurant which has a couple of peirs to fish from. On the other peir there was a family of 3. Well, while we were fishing I noticed up in the sky probably 1000 ft. up was a white object flying slowy over the river. It was making no sound. The crazy thing about it was, as it was flying over the river it would just fade out and vanish when it was close to the other side of the river. And amazingly after this would occur, it would re-appear back where it started from. This went on for about 20 minutes. I even ran over to the other pier to show the people there what it was doing. We all saw it in broad daylight on a clear day. The other strange thing was, after it had stopped flying over, a few minutes later a fighter jet flew up through the area that this UFO craft had just been flying in. Has anyone else seen anything like this. Please email me if you have.","Technical Support Specialist",5,1,"cylinder",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1993,1990,2,6,14,"Afternoon","South",1,0,0,0,0
"4127",5897,"Web","1999-03-12","1899-12-30 02:00:26","1947-06-15","1899-12-30 10:00:00",1,"15 sec",NA,"Winona (approx. 20 miles NW of)","MN","55987","Winona","USA","2 unmoving round objects side my side like eyes straight overhead above the fiew clouds that drifted under them.","2 unmoving round objects side my side like eyes straight overhead above the fiew clouds that drifted under them.

They did not move and I dont remember even looking at them the second time. they were white as the clouds but not metalic shining.  I was very young like about only 4 years old at the time and I am 55 now this was one of the two times I was a wittness of UFOs.  

These objects did not move enough  for me to notice.  They were not like the weather balloons that were prevalant during those days but because these were right over head and not like the side view that the weather baloons were.  None of the characteristics below fit the objects that I observed.  We were poor people that had to raise as much food as we could in the summer months to have enough food for the cold winters we have here.  

Mom was a mother of 8 and practically alone in her indever to raise us.  So we spent a lot of time in the large gardens we had at that time.  For the most part we ignored the objects and went back to our task of hoeing the strawberry plants growing in that particular garden plot.","Disabled  handyman",0,0,"disk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1947,1940,2,6,10,"Morning","Midwest",1,0,0,0,0
"4371",6376,"Web","1999-04-21","1899-12-30 17:32:41","1985-09-05","1899-12-30 01:30:00",1,"2 hours",NA,"Juneau","AK",NA,"Wrangle Narrows","USA","My Brother and I believed we saw something that sped up time with light's from a ship. While we were in transit with a Vessel to Seattl","My Brother and I believed we saw something that sped up time with light's from a ship. While we were in transit with a Vessel to Seattle from Alaska's waterway's in the Wrangle Narrows, very brite white light's!!! almost a daylight effect on shore, I saw as I made us a snack in the galley, I ran to the bridge, tried to talk to my brother...turn on the light's his face had been burned, like a sun burn, only on part of his face...we were scared and didn't talk again until the next day, we didn't feel good...alittle werid feeling inside...you know? missing time I think also...we were wide awake it was our shift together while our father and the enginnier we sleeping.

It was the summer of '85, we all had finished our season as a tender in Alaska, our ship was a 300' Vessel we were on our way to Seattle, there were four on board me (deleted) my brother (deleted) and our father (deleted) and our chief enginnier. Leaving the Gulf of Alaska, entering what is called Cape St. Elis, this is where you enter when there is bad sea's, it is also known as the inside passage, very beautiful passage you can almost jump off the ship to shore if you want to, the summer night's do not get dark, until 11:30 to 12:30.  My brother (deleted) is a first-mate and we share shift's together, ours is from 12 midnight to 6am,  were all up in bridge when I saw a Bright light under our ship, it lite up the whole ship under water we were in motion about 9 knots or so, can't go too fast in the passage, then it moved towards the bow of the vessel...within seconds it was gone? My father the Captain said I was a whale that was moving under us and the (phosferus) in the water was making the light...? mabe he was right but I remembered the jet that flew over head that woke us up earlier, it buzzed us a few times and was gone...we were very glad that we were on our way back home to Seattle! so nothing more about it...as our father said, are we ready to take over...warned us about going fast in here, we said don't worry we'll be fine, about this time I ask my brother if he was hungry, I said I'll go to the galley and make us something to eat...he said ok...I waited for a moment or two he said, what about the food?, I said ok then I traveled down the stairs to the galley, I was looking in the cooler to see what I can make... I think I started cooking on the grill or making sandwitches...I was looking out the porthole I saw the trees....wondering why I can see them so cleary? I was night time and It looked like daytime...so I heard my brother on the intercom yelling at me to come up to the pilot house!!!! so I ran up the stairs...as I got outside It was daylight! all around the ship! everywhere I looked I saw light it was bright at first, but my eyes were trying to get used to the light, I got upstairs finale and my brother is talking loud!!! can you see that? I said yeah I can...we opened the side door to the bridge and we could come out but I was stopped by him grabbing me saying Tony don't go!!!! as soon as we did stop or talk the light was gone...back to darkness...it was werid cause our or my eyes had to adjust back to the night....in silence for a long time my brother asked me did I see that? What Happened?....I turned on the light's and noticed that his face was burned, mine was alittle my right hand, had a werid burn on it, as I look on my hand now it's gone, I thought I would have that burn forever....my brother face cleared up the next day, mabe a few days...we told everyone we knew,  all thought we were crazy....by the way our trip back home? as soon as you leave the inside passage, you enter the outside Ocean,  it was to be bad weather....it was flat calm...not even a ripple...no wind...sunny skies all the way back to Seattle....that was very unusal for this time of year....I'll never forget what happened to me and my brother (deleted)!. I remember this as if it happened yesterday!....to be more detailed the lights did change from white to yellow, very bright colors, there was no sound...the night was black so fast as if someone turned out the light's? I know the object was round the shape was very huge much bigger and closer than I ever thought of to be, as the UFO left I did hear the engines again so mabe there was a sound?, there was not a loud sound that I remember? but we noticed that this did take time to do all this, It felt like seconds or a few minutes..but not 2 hours I notice that it was later than, it was alittle after 2am I believed it started around 12 ish...I guess the ufo went straight up or behind us cause there were light colored particles in the air, as if it sped away in a half a second, extermely fast, gone.?","Rental Manager of Limousine's",2,2,"circle",1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,NA,NA,NA,0,0,0,0,1985,1980,3,9,1,"Night","West",1,0,0,1,0
"4888",8165,"Web","1999-06-27","1899-12-30 16:47:01","1999-06-26","1899-12-30 17:15:00",0,"5-10 minutes",NA,"Seattle (Georgetown)","WA","98108","King","USA","slow moving, low altitude saucer heading N by NW, moving in a straight line, very steady.  The disk seemed to be round but would at tim","slow moving, low altitude saucer heading N by NW, moving in a straight line, very steady.  The disk seemed to be round but would at times appear flat as well, no larger than a nickel held at arms length, but still under the clouds.

My wife and I were eating our customary lunch on the road after purchasing the food from Maruta, a Japanese grocery in the George town district.  We sat on a curb between Maruta and a Seafirst Bank, next to an on Ramp for I-5 a routine we've gone through several times in the past. One of the attractions ofcourse is the planes landing at King County Airport. After most of the meal I was looking up at the sky watching another plane come in when I noticed a dust spot on a cloud.  I kept watching it to figure out what it was.  Not being able to determine it, I asked my wife what she thought. She insisted it was a bird, but after careful scrutiny, realized it was round and had no movement as a bird might make, such as wings.  Also, at this point we had been watching it a couple of minutes and it was moving in a straight line, no doubts.  No bird can move that straight. We discussed wether or not it was a plane, of which there was one in the sky to compare with and decided no. Aside from the shape, there was absolutely no sound emanating from the object.  A balloon, maybe, but at times it seemed flat and not round, as if it were a CD slowly spinning.  LET ME POINT OUT THAT THIS ANALAGY IS NOT ACCURATE< IT IN NO WAY SEEMED LIKE A SPINNING OBJECT. That merely describes the transition between the round appearance and the flat. While watching, it appeared once my eyes adjusted to the sky's light, that the disk was not black as first appeared but rather a charcoal grey, my wife however maintains that it was black. As it slowly moved towards a cloud, one with shape, not the usual cloudy Seattle sky, I started telling my wife it was a UFO.  She kept saying no, there is some explanation and was remaining very calm. I however was trying to get her to follow the UFO as it was moving by us. She threw away our trash, and started the car, we headed West on Bailey from Maruta's parking lot, the North on Corson Ave, but saw nothing, it was gone. I spent the next fifteen minutes trying to determine the time and direction of the sighting since we had neither a watch or map with us.  I think the information given here is accurate and correct.  Please call me for any other info you may need.  I will be checking the web sight regularly for further occurances by others. Thank you, ((name deleted))r","Map Editor/Photogrammetry (Walker & Associates)",2,1,"disk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1999,1990,2,6,17,"Afternoon","West",1,0,0,0,0
"5301",8641,"Web","1999-08-13","1899-12-30 10:00:24","1996-10-30","1899-12-30 07:30:00",0,"3-4 minutes",NA,"Pittsburgh","PA","15212","Allegheny","USA","Saw a disc shaped object from a distance to close.","Saw a disc shaped object from a distance to close.

Me and a coworker on the job in a company truck, he was driving. we crossed the Fort Pitt bridge leaving downtown Pittsburgh on route 28 north, we saw from a distance an object. The road headed us toward it and we at first thought it was a hot air balloon, they often leave the downtown point. It was from a distance flat on the bottom sloping to a near point on top. Closer the color was brown and driving nearly beneath it, it was a lighter brown, circular, seamless with three half round equally spaced protursions on the bottom. The rim was lower than the protrusions they could not be seen from any distance. It was stationary about 300 feet above the HJ Heinz food plant. We made a turn at the next light to cross the 32nd Street bridge I turned to look it was gone. He and I saw it but our discription to others were different. His opinion gave it a higher rounder top than mine.I had the best view of the bottom out my window. There were many people on the road the traffic so heavy we could not stop. That evening I listened for a report on TV, there were none.","retired truck driver",2,1,"disk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1996,1990,4,10,7,"Morning","Northeast",1,0,0,0,0
"5835",9810,"Web","1999-09-18","1899-12-30 13:18:47","1999-09-17","1899-12-30 23:55:00",0,"seconds",NA,"Virginia Beach","VA","23464",NA,"USA","a ball of light shot over my head.","a ball of light shot over my head.

I was on Strikland blvd. on my way to work at 23:55.  I was making my final turn into the parking lot and I saw a small green ball of light heading south west for only a fraction of a second. It was about the size of a bb, haloed with yellow with a pointed yellow orange tail. the tail was longer than the ball. I work overnights at a 7-11, and foodeservice during the day.","sales and foodservice",1,1,"fireball",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1999,1990,3,9,23,"Night","South",1,0,0,0,0
"6902",11448,"Web","1999-12-23","1899-12-30 07:10:13","1997-10-30","1899-12-30 07:30:00",0,"3 minutes",NA,"Pittsburgh","PA","15212","Allegheny","USA","observed stationary disk object hovering in clear daylight about 100 feet driving nearly beneath it.","observed stationary disk object hovering in clear daylight about 100 feet driving nearly beneath it.

A coworker and I were on the job in a company truck. We left our plant downtown pittsburgh heading north east across the duquesne bridge on route 8/28 buypass for the 32nd street bridge. I was in the passenger seat and from the duquesne bridge we both saw and object at a distance further up the road. It was flat on the bottom and sloped to a near point on top. Driving closer we could see it was brown  about 100 feet up hovering above the rail tracks between the roadway and the HJ Heinz food plant. We drove almost beneath it. I could see more of it than he out my window. The bottom was a lighter brown seamless with three evenly placed half round protrusions. The rim had a lip which covered the protrusions from a distance.It was about 30-50 feet in diameter. The sky was clear. There was alot of morning rush hour traffic it would have been hard to stop and we never thought of it because by the time we realized what we just saw it was too late. When we turned right on the 32nd street bridge I looked out my window, it was gone. That evening I listened for some report on TV, there was none.","retired truck driver",2,1,"disk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1997,1990,4,10,7,"Morning","Northeast",1,0,0,0,0
"6992",11545,"Web","2000-01-02","1899-12-30 08:04:37","1999-09-11","1899-12-30 21:30:00",0,"1 minute",NA,"Bradley Beach","NJ",NA,"Ocean","USA","Star-like light that moved in different directions, heading south, south-east and dissappeared.","Star-like light that moved in different directions, heading south, south-east and dissappeared.

I was visiting my mother and sister and we were sitting on a boardwalk bench on the beach. Our heads were down as we all were munching on food. I looked up and saw what I can only describe as a HUGE search light shining on us from the sky. I said aloud,""What the..."" and the light retracted into what looked like a bright star that did not twinkle. We all looked at this ""Bright Star"" for a couple of seconds and then it started to move fast. First, it moved in a horizontal direction, then it dropped down as if it were falling. Then, it moved diagonally upward, and then horizontally heading south, south-east and disappeared. It all happened so fast, but we didn't take our eyes off it. I have never seen anything unusual in the sky in my life. I have to say,THIS, was unusual. It moved too fast to be anything man-made(KNOWN),and it literally,made the hair on my neck stand up.","Retail Pharmacy Management",2,1,"light",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1999,1990,3,9,21,"Evening","Northeast",1,0,0,0,0
